rho,seed,T,modulator_correct_a,modulator_correct_b,modulator_correct_both,M_source0_a,M_source2_a,M_source0_b,M_source2_b,err_g123_a,err_g123_b,err_g145_a,err_g145_b,err_g123,err_g145,gap_g123,gap_g145,r_eff_x3_x5,elapsed_seconds
0.8,2042,25000,1,1,1,[1],[3],[1],[3],0.27253836393356323,0.2769569456577301,0.09030144661664963,0.16970661282539368,0.27474765479564667,0.13000402972102165,0.009868460707366467,0.08178357034921646,1.8524801626191933,129.02264094352722
0.8,3042,25000,1,1,1,[1],[3],[1],[3],0.2741953432559967,0.30258235335350037,0.16384336352348328,0.8649300336837769,0.28838884830474854,0.5143866986036301,0.028601322323083878,0.7024006247520447,1.8863737609276894,131.17935609817505
0.8,4042,25000,1,0,0,[1],[3],[],[3],0.3209368884563446,0.7671859264373779,0.1637551635503769,0.05243206396698952,0.5440614074468613,0.1080936137586832,0.4464646279811859,0.11947400122880936,1.8538085819966033,129.9573037624359
0.8,5042,25000,0,1,0,[],[3],[1],[3],0.7823827862739563,0.3173832595348358,0.054841846227645874,0.14044415950775146,0.5498830229043961,0.09764300286769867,0.46527576446533203,0.09729732573032379,1.8726322184911743,132.68220901489258
0.8,6042,25000,1,0,0,[1],[3],[],"[1, 3]",0.32051441073417664,0.7549875974655151,0.13081839680671692,0.05672658607363701,0.5377510040998459,0.09377249144017696,0.4347386360168457,0.08165980130434036,1.8533418320820143,130.2287974357605
0.8,7042,25000,0,0,0,[1],[0],[1],"[0, 3]",0.2592002749443054,0.30617570877075195,0.4938930571079254,0.5943297743797302,0.2826879918575287,0.5441114157438278,0.04716673493385315,0.10215147584676743,1.8619258115768231,130.74045944213867
0.8,8042,25000,1,1,1,[1],[3],[1],[3],0.3018095791339874,0.30299508571624756,0.1562364101409912,0.17041702568531036,0.3024023324251175,0.1633267179131508,0.004205010365694761,0.01959311217069626,1.876649703697888,130.23894572257996
0.8,9042,25000,1,1,1,[1],[3],[1],[3],0.2938658893108368,0.2776840925216675,0.15793374180793762,0.22247400879859924,0.28577499091625214,0.19020387530326843,0.016634469851851463,0.0650930181145668,1.863121193645244,129.21858978271484
0.9,42,25000,1,1,1,[1],[3],[1],[3],0.320121705532074,0.30427947640419006,0.14651170372962952,0.17522688210010529,0.312200590968132,0.1608692929148674,0.016324596479535103,0.029523713514208794,1.68887889536874,126.45631504058838
0.9,1042,25000,1,1,1,[1],[3],[1],[3],0.30139002203941345,0.2974586486816406,0.16719548404216766,0.12473074346780777,0.29942433536052704,0.14596311375498772,0.005335082765668631,0.04394906386733055,1.7074954868562542,131.33856797218323
0.9,2042,25000,1,1,1,[1],[3],[1],[3],0.29997149109840393,0.2768528461456299,0.13118669390678406,0.17035509645938873,0.2884121686220169,0.1507708951830864,0.024821722880005836,0.03991641849279404,1.6849594309756906,130.4774730205536
0.9,3042,25000,1,1,1,[1],[3],[1],[3],0.2745510935783386,0.306751012802124,0.16504044830799103,0.8585729002952576,0.2906510531902313,0.5118066743016243,0.03238843008875847,0.6951715350151062,1.7134569787544025,129.41004252433777
0.9,4042,25000,1,0,0,[1],[3],[],[3],0.3205500841140747,0.7703961730003357,0.16407418251037598,0.05429453402757645,0.5454731285572052,0.10918435826897621,0.4500713050365448,0.11869543790817261,1.6846480099800762,123.0983316898346
0.9,5042,25000,1,1,1,[1],[3],[1],[3],0.7845907807350159,0.32104697823524475,0.055597685277462006,0.13863645493984222,0.5528188794851303,0.09711707010865211,0.4638191759586334,0.09564775973558426,1.6994989134235847,126.54239320755005
0.9,6042,25000,1,0,0,[1],[3],[],"[1, 3]",0.3234935998916626,0.7556989789009094,0.135470911860466,0.06221922114491463,0.539596289396286,0.09884506650269032,0.43250736594200134,0.08244575560092926,1.6823135314128406,130.06618881225586
0.9,7042,25000,0,0,0,[1],[0],[1],"[0, 3]",0.2618935704231262,0.31082260608673096,0.49568894505500793,0.5945293307304382,0.2863580882549286,0.5451091378927231,0.04915023595094681,0.10060515999794006,1.6900972083314942,130.7255938053131
0.9,8042,25000,1,1,1,[1],[3],[1],[3],0.3027355670928955,0.3023257851600647,0.15891262888908386,0.17379124462604523,0.3025306761264801,0.16635193675756454,0.00458868034183979,0.020628781989216805,1.702221429657292,130.94189763069153
0.9,9042,25000,0,1,0,[1],"[0, 3]",[1],[3],0.247921884059906,0.2770037353038788,0.08475027233362198,0.22525270283222198,0.2624628096818924,0.15500148758292198,0.02977810427546501,0.1434856653213501,1.694103314801101,123.6056969165802
0.95,42,25000,1,1,1,[1],[3],[1],[3],0.28454524278640747,0.3094513714313507,0.08422964066267014,0.17815259099006653,0.2969983071088791,0.13119111582636833,0.02533530630171299,0.09668111056089401,1.6119322723855993,114.33073854446411
0.95,1042,25000,1,1,1,[1],[3],[1],[3],0.3062474727630615,0.30467066168785095,0.16728098690509796,0.12527401745319366,0.30545906722545624,0.1462775021791458,0.003999465145170689,0.04346909373998642,1.624303176591039,114.37553191184998
